varId	varName	varTitle	varClass	dUnit	mUnit	aUnit	vLen
51	ns_soil2	soil-2 N	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
52	ns_soil3	soil-3 N	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
53	ns_soil4	soil-4 N	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
54	ns_sminn	mineral N in soil	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
55	ns_cum_nfix	cum biol. N fixation	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
56	ns_cum_ndep	cum N-deposition	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
57	ns_cum_nleached	cum N leaching	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
58	ns_cum_nvol	cum N loss to volatilization	ns	 [kg N/ha]	 [kg N/ha]	 [kg N/ha]	4
65	nf_site_ndep_to_smin	N deposition	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
66	nf_site_nfix_to_smin	biol. N fixation	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
67	nf_site_soil1_to_soil2	N flux from soil1 to soil2	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
68	nf_site_smin_to_soil2_s1	mineralization flux soil1 to soil2 	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
69	nf_site_soil2_to_soil3	N flux from soil2 to soil3	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
70	nf_site_smin_to_soil3_s2	mineralization flux soil21 to soil3 	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
71	nf_site_soil3_to_soil4	N flux from soil3 to soil4	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
72	nf_site_smin_to_soil4_s3	mineralization flux soil3 to soil4 	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
73	nf_site_soil4_to_smin	N flux from soil4	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
74	nf_site_smin_to_nvol_s1s2	denitrification flux from soil1 to soil2	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
75	nf_site_smin_to_nvol_s2s3	denitrification flux from soil2 to soil3	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
76	nf_site_smin_to_nvol_s3s4	denitrification flux from soil3 to soil4	nf	 [kg N/(ha*d)]	 [kg N/(ha*m)]	 [kg N/(ha*a)]	4
